"Gene.stable.ID","HGNC.symbol"
"ENSMUSG00000056673","KDM5D"
"ENSMUSG00000049775","TMSB4Y"
"ENSMUSG00000094658","RBMY1A1"
"ENSMUSG00000094658","RBMY1J"
"ENSMUSG00000094658","RBMY1B"
"ENSMUSG00000094658","RBMY1D"
"ENSMUSG00000094658","RBMY1F"
"ENSMUSG00000094658","RBMY1E"
"ENSMUSG00000034755","PCDH11Y"
"ENSMUSG00000069045","DDX3Y"
"ENSMUSG00000091987","RBMY1A1"
"ENSMUSG00000091987","RBMY1J"
"ENSMUSG00000091987","RBMY1B"
"ENSMUSG00000091987","RBMY1D"
"ENSMUSG00000091987","RBMY1F"
"ENSMUSG00000091987","RBMY1E"
"ENSMUSG00000068457","UTY"
"ENSMUSG00000069036","SRY"
"ENSMUSG00000045336","HSFY2"
"ENSMUSG00000045336","HSFY1"
"ENSMUSG00000101667","RBMY1A1"
"ENSMUSG00000101667","RBMY1J"
"ENSMUSG00000101667","RBMY1B"
"ENSMUSG00000101667","RBMY1D"
"ENSMUSG00000101667","RBMY1F"
"ENSMUSG00000101667","RBMY1E"
"ENSMUSG00000096520","RBMY1A1"
"ENSMUSG00000096520","RBMY1J"
"ENSMUSG00000096520","RBMY1B"
"ENSMUSG00000096520","RBMY1D"
"ENSMUSG00000096520","RBMY1F"
"ENSMUSG00000096520","RBMY1E"
"ENSMUSG00000093918","RBMY1A1"
"ENSMUSG00000093918","RBMY1J"
"ENSMUSG00000093918","RBMY1B"
"ENSMUSG00000093918","RBMY1D"
"ENSMUSG00000093918","RBMY1F"
"ENSMUSG00000093918","RBMY1E"
"ENSMUSG00000038259","GDF5"
"ENSMUSG00000040138","NDP"
"ENSMUSG00000041702","BTBD7"
"ENSMUSG00000024268","CELF4"
"ENSMUSG00000029088","KCNIP4"
"ENSMUSG00000000701","TCL1B"
"ENSMUSG00000025658","CNKSR2"
"ENSMUSG00000034607","POF1B"
"ENSMUSG00000041891","LMAN1"
"ENSMUSG00000032788","PDXK"
"ENSMUSG00000038375","TP53INP2"
"ENSMUSG00000022070","BORA"
"ENSMUSG00000027480","SUN5"
"ENSMUSG00000024780","CDC37L1"
"ENSMUSG00000020260","POFUT2"
"ENSMUSG00000027481","BPIFB2"
"ENSMUSG00000039851","C21orf62"
"ENSMUSG00000039041","ADRM1"
"ENSMUSG00000037754","PPP1R16B"
"ENSMUSG00000043998","MGAT2"
"ENSMUSG00000045284","DCAF12L2"
"ENSMUSG00000021794","GLUD2"
"ENSMUSG00000022010","TSC22D1"
"ENSMUSG00000020231","DIP2A"
"ENSMUSG00000029167","PPARGC1A"
"ENSMUSG00000041720","PI4KA"
"ENSMUSG00000008976","GABPA"
"ENSMUSG00000033965","SLC16A2"
"ENSMUSG00000016758","BIK"
"ENSMUSG00000020457","DRG1"
"ENSMUSG00000034145","TMEM63C"
"ENSMUSG00000043060","FSCB"
"ENSMUSG00000037016","FREM2"
"ENSMUSG00000034460","SIX4"
"ENSMUSG00000015340","CYBB"
"ENSMUSG00000006418","RNF114"
"ENSMUSG00000031258","XKRX"
"ENSMUSG00000040147","MAOB"
"ENSMUSG00000022949","CLIC6"
"ENSMUSG00000045318","ADRA2C"
"ENSMUSG00000020974","POLE2"
"ENSMUSG00000000305","CDH4"
"ENSMUSG00000021807","RTRAF"
"ENSMUSG00000031165","WAS"
"ENSMUSG00000046572","ZNF518B"
"ENSMUSG00000025428","ATP5F1A"
"ENSMUSG00000027603","GGT7"
"ENSMUSG00000036596","CPZ"
"ENSMUSG00000031482","SLC25A15"
"ENSMUSG00000031007","ATP6AP2"
"ENSMUSG00000027442","CST8"
"ENSMUSG00000012114","MED15"
"ENSMUSG00000040605","BACE2"
"ENSMUSG00000039128","CDC123"
"ENSMUSG00000002020","LTBP2"
"ENSMUSG00000026726","CUBN"
"ENSMUSG00000032932","HSPA13"
"ENSMUSG00000022416","CACNA1I"
"ENSMUSG00000042165","ADRM1"
"ENSMUSG00000036422","PCDH8"
"ENSMUSG00000044442","N6AMT1"
"ENSMUSG00000031132","CD40LG"
"ENSMUSG00000000078","KLF6"
"ENSMUSG00000021831","ERO1A"
"ENSMUSG00000022893","ADAMTS1"
"ENSMUSG00000020277","PFKL"
"ENSMUSG00000010830","KDELR3"
"ENSMUSG00000021830","TXNDC16"
"ENSMUSG00000005716","PVALB"
"ENSMUSG00000032852","RSPO4"
"ENSMUSG00000024034","TMPRSS3"
"ENSMUSG00000022025","CNMD"
"ENSMUSG00000027445","CST9L"
"ENSMUSG00000025613","CCT8"
"ENSMUSG00000024644","CNDP2"
"ENSMUSG00000022947","CBR3"
"ENSMUSG00000029110","RNF4"
"ENSMUSG00000021846","PELI2"
"ENSMUSG00000027428","RBBP9"
"ENSMUSG00000023393","SLC17A9"
"ENSMUSG00000001804","DSG4"
"ENSMUSG00000046318","CCBE1"
"ENSMUSG00000029169","DHX15"
"ENSMUSG00000020435","OSBP2"
"ENSMUSG00000042498","RADX"
"ENSMUSG00000024521","PMAIP1"
"ENSMUSG00000024276","ZNF397"
"ENSMUSG00000038312","EDEM2"
"ENSMUSG00000031245","HMGN5"
"ENSMUSG00000021222","DCAF4"
"ENSMUSG00000008090","FGFRL1"
"ENSMUSG00000025816","SEC61A2"
"ENSMUSG00000029122","EVC"
"ENSMUSG00000029238","CLOCK"
"ENSMUSG00000005054","CSTB"
"ENSMUSG00000033632","KIAA1328"
"ENSMUSG00000022938","FAM3B"
"ENSMUSG00000031379","PIR"
"ENSMUSG00000041736","TSPO"
"ENSMUSG00000024518","RAX"
"ENSMUSG00000031354","AMELX"
"ENSMUSG00000024098","TWSG1"
"ENSMUSG00000039155","CDH26"
"ENSMUSG00000036223","SKA1"
"ENSMUSG00000031239","ITM2A"
"ENSMUSG00000046791","RIOX1"
"ENSMUSG00000027357","CRLS1"
"ENSMUSG00000022435","UPK3A"
"ENSMUSG00000031196","F8"
"ENSMUSG00000024424","TTC39C"
"ENSMUSG00000024036","SLC37A1"
"ENSMUSG00000045180","SHROOM2"
"ENSMUSG00000019969","PSEN1"
"ENSMUSG00000028409","SMU1"
"ENSMUSG00000000823","ZNF512B"
"ENSMUSG00000031200","MTCP1"
"ENSMUSG00000024041","CRYAA"
"ENSMUSG00000037347","CHST7"
"ENSMUSG00000033083","TBC1D4"
"ENSMUSG00000022957","ITSN1"
"ENSMUSG00000025264","TSR2"
"ENSMUSG00000037086","PRR32"
"ENSMUSG00000041468","GPR12"
"ENSMUSG00000045930","CLEC14A"
"ENSMUSG00000039456","MORC3"
"ENSMUSG00000016619","NUP50"
"ENSMUSG00000031360","CTPS2"
"ENSMUSG00000017697","ADA"
"ENSMUSG00000022962","GART"
"ENSMUSG00000037197","RBM17"
"ENSMUSG00000041552","PTCHD1"
"ENSMUSG00000022404","SLC25A17"
"ENSMUSG00000031330","ZCCHC13"
"ENSMUSG00000027400","PDYN"
"ENSMUSG00000046699","SLITRK4"
"ENSMUSG00000031271","SERPINA7"
"ENSMUSG00000030662","IPO5"
"ENSMUSG00000041649","KLF8"
"ENSMUSG00000021009","PTPN21"
"ENSMUSG00000027452","ACSS1"
"ENSMUSG00000040666","GET1-SH3BGR"
"ENSMUSG00000027746","UFM1"
"ENSMUSG00000031290","LRCH2"
"ENSMUSG00000031434","MORC4"
"ENSMUSG00000031621","ISX"
"ENSMUSG00000038866","ZCCHC2"
"ENSMUSG00000022965","IFNGR2"
"ENSMUSG00000040132","SEMG2"
"ENSMUSG00000040132","SEMG1"
"ENSMUSG00000041708","MPPED1"
"ENSMUSG00000022914","BRWD1"
"ENSMUSG00000022013","DNAJC15"
"ENSMUSG00000021007","SPATA7"
"ENSMUSG00000016257","PRELID3B"
"ENSMUSG00000022974","PAXBP1"
"ENSMUSG00000027483","BPIFA1"
"ENSMUSG00000020949","FKBP3"
"ENSMUSG00000035062","ZC4H2"
"ENSMUSG00000000489","PDGFB"
"ENSMUSG00000037376","TRMT6"
"ENSMUSG00000016624","PHF21B"
"ENSMUSG00000021135","SLC10A1"
"ENSMUSG00000039092","SPTLC3"
"ENSMUSG00000046180","MAGEC2"
"ENSMUSG00000046180","MAGEC3"
"ENSMUSG00000046180","MAGEA8"
"ENSMUSG00000046180","MAGEA11"
"ENSMUSG00000046180","MAGEC1"
"ENSMUSG00000024553","GALR1"
"ENSMUSG00000041476","SMPX"
"ENSMUSG00000044991","SHLD1"
"ENSMUSG00000035847","IDS"
"ENSMUSG00000029098","ACOX3"
"ENSMUSG00000010608","RBM25"
"ENSMUSG00000033906","ZDHHC15"
"ENSMUSG00000027547","SALL4"
"ENSMUSG00000021099","SIX6"
"ENSMUSG00000027335","ADRA1D"
"ENSMUSG00000031176","DYNLT3"
"ENSMUSG00000033055","ANKRD54"
"ENSMUSG00000039956","MRAP"
"ENSMUSG00000016541","ATXN10"
"ENSMUSG00000036282","NAA30"
"ENSMUSG00000041134","CYYR1"
"ENSMUSG00000023764","SFI1"
"ENSMUSG00000041380","HTR2C"
"ENSMUSG00000022432","SMC1B"
"ENSMUSG00000037253","MEX3C"
"ENSMUSG00000041718","ALG13"
"ENSMUSG00000027584","OPRL1"
"ENSMUSG00000039840","EPG5"
"ENSMUSG00000034551","HDX"
"ENSMUSG00000025038","EFHC2"
"ENSMUSG00000022123","SCEL"
"ENSMUSG00000027655","DHX35"
"ENSMUSG00000029646","CDX2"
"ENSMUSG00000029223","UCHL1"
"ENSMUSG00000022889","MRPL39"
"ENSMUSG00000037820","TGM2"
"ENSMUSG00000044340","PHLPP1"
"ENSMUSG00000027551","ZFP64"
"ENSMUSG00000041765","UBAC2"
"ENSMUSG00000044502","BOD1L2"
"ENSMUSG00000038400","PMEPA1"
"ENSMUSG00000022441","EFCAB6"
"ENSMUSG00000020451","LIMK2"
"ENSMUSG00000043501","LGALS2"
"ENSMUSG00000046942","MAGEB16"
"ENSMUSG00000033434","GTPBP6"
"ENSMUSG00000045493","BHLHE23"
"ENSMUSG00000016253","NELFCD"
"ENSMUSG00000009114","C21orf58"
"ENSMUSG00000027433","XRN2"
"ENSMUSG00000027487","CDK5RAP1"
"ENSMUSG00000035142","NUBPL"
"ENSMUSG00000021178","PSMC1"
"ENSMUSG00000020415","PTTG2"
"ENSMUSG00000045973","SLC25A52"
"ENSMUSG00000021279","CDC42BPB"
"ENSMUSG00000022978","MIS18A"
"ENSMUSG00000044206","VSIG4"
"ENSMUSG00000009293","UBE2G2"
"ENSMUSG00000022114","SPRY2"
"ENSMUSG00000036103","COLEC12"
"ENSMUSG00000037262","KIN"
"ENSMUSG00000021219","RGS6"
"ENSMUSG00000044249","DEFB116"
"ENSMUSG00000027793","CCNA1"
"ENSMUSG00000038047","HAUS6"
"ENSMUSG00000044148","CXorf38"
"ENSMUSG00000031438","RNF128"
"ENSMUSG00000036461","ELF1"
"ENSMUSG00000042845","WFDC12"
"ENSMUSG00000040855","REPS2"
"ENSMUSG00000022129","DCT"
"ENSMUSG00000031289","IL13RA2"
"ENSMUSG00000026644","ACBD7"
"ENSMUSG00000020412","ASCC2"
"ENSMUSG00000037843","VSTM2L"
"ENSMUSG00000021140","PCNX1"
"ENSMUSG00000035566","PCDH17"
"ENSMUSG00000000365","RNF17"
"ENSMUSG00000021929","KPNA3"
"ENSMUSG00000037259","DZANK1"
"ENSMUSG00000022009","NUFIP1"
"ENSMUSG00000022941","RIPPLY3"
"ENSMUSG00000022408","FAM83F"
"ENSMUSG00000037235","MXD4"
"ENSMUSG00000015806","QDPR"
"ENSMUSG00000000901","MMP11"
"ENSMUSG00000022940","PIGP"
"ENSMUSG00000002458","RGS19"
"ENSMUSG00000026773","PFKFB3"
"ENSMUSG00000033615","CPLX1"
"ENSMUSG00000021852","SLC35F4"
"ENSMUSG00000037697","DDHD1"
"ENSMUSG00000025780","ITIH5"
"ENSMUSG00000036769","WDR44"
"ENSMUSG00000042345","UBASH3A"
"ENSMUSG00000025781","ATP5F1C"
"ENSMUSG00000000359","REM1"
"ENSMUSG00000024413","NPC1"
"ENSMUSG00000037315","JADE3"
"ENSMUSG00000000374","TRAPPC10"
"ENSMUSG00000025268","MAGED2"
"ENSMUSG00000021198","UNC79"
"ENSMUSG00000022863","BTG3"
"ENSMUSG00000008333","SNRPB2"
"ENSMUSG00000035725","PRKX"
"ENSMUSG00000035431","SSTR1"
"ENSMUSG00000024032","TFF1"
"ENSMUSG00000034394","LIF"
"ENSMUSG00000006373","PGRMC1"
"ENSMUSG00000035395","DCAF8L1"
"ENSMUSG00000025885","MYO5B"
"ENSMUSG00000029253","CENPC"
"ENSMUSG00000000730","DNMT3L"
"ENSMUSG00000017057","IL13RA1"
"ENSMUSG00000031226","PBDC1"
"ENSMUSG00000000731","AIRE"
"ENSMUSG00000027340","SLC23A2"
"ENSMUSG00000043753","DMRTA1"
"ENSMUSG00000006345","GGTLC1"
"ENSMUSG00000006345","GGT2"
"ENSMUSG00000006345","GGTLC3"
"ENSMUSG00000044550","TCEAL5"
"ENSMUSG00000027341","TMEM230"
"ENSMUSG00000027276","JAG1"
"ENSMUSG00000027661","SLC2A10"
"ENSMUSG00000021090","LRRC9"
"ENSMUSG00000026646","SUV39H2"
"ENSMUSG00000024410","RMC1"
"ENSMUSG00000042750","BEX1"
"ENSMUSG00000027350","CHGB"
"ENSMUSG00000002076","HSF2BP"
"ENSMUSG00000027518","C20orf85"
"ENSMUSG00000026770","IL2RA"
"ENSMUSG00000021938","PSPC1"
"ENSMUSG00000037341","SLC9A7"
"ENSMUSG00000021134","SRSF5"
"ENSMUSG00000038903","CCDC68"
"ENSMUSG00000033060","LMO7"
"ENSMUSG00000039763","DNAJC28"
"ENSMUSG00000000903","VPREB3"
"ENSMUSG00000016637","IFT27"
"ENSMUSG00000018008","CYTH4"
"ENSMUSG00000006369","FBLN1"
"ENSMUSG00000043301","KCNJ6"
"ENSMUSG00000021048","MTHFD1"
"ENSMUSG00000022897","DYRK1A"
"ENSMUSG00000022964","TMEM50B"
"ENSMUSG00000038241","CEP250"
"ENSMUSG00000004317","CLCN5"
"ENSMUSG00000033186","MZT1"
"ENSMUSG00000029205","CHRNA9"
"ENSMUSG00000031166","WDR13"
"ENSMUSG00000032046","ABHD12"
"ENSMUSG00000045410","AKR1E2"
"ENSMUSG00000005883","SPO11"
"ENSMUSG00000031299","PDHA1"
"ENSMUSG00000037426","DEPDC5"
"ENSMUSG00000027654","FAM83D"
"ENSMUSG00000031198","FUNDC2"
"ENSMUSG00000024038","NDUFV3"
"ENSMUSG00000021947","CRYL1"
"ENSMUSG00000039903","EVA1C"
"ENSMUSG00000031224","MAGEE2"
"ENSMUSG00000031352","HCCS"
"ENSMUSG00000031217","EFNB1"
"ENSMUSG00000035238","KCNK15"
"ENSMUSG00000026315","SERPINB8"
"ENSMUSG00000022860","CHODL"
"ENSMUSG00000006705","PKNOX1"
"ENSMUSG00000032940","RBM11"
"ENSMUSG00000024516","SEC11C"
"ENSMUSG00000029189","SEL1L3"
"ENSMUSG00000024096","RALBP1"
"ENSMUSG00000022026","OLFM4"
"ENSMUSG00000034442","TRMT5"
"ENSMUSG00000020482","CCDC117"
"ENSMUSG00000027431","SCP2D1"
"ENSMUSG00000022434","FAM118A"
"ENSMUSG00000028411","APTX"
"ENSMUSG00000029202","PDS5A"
"ENSMUSG00000017670","ELMO2"
"ENSMUSG00000029648","FLT1"
"ENSMUSG00000033099","NOL12"
"ENSMUSG00000025040","FUNDC1"
"ENSMUSG00000027312","ATRN"
"ENSMUSG00000042712","TCEAL9"
"ENSMUSG00000039680","MRPS6"
"ENSMUSG00000033623","PCGF3"
"ENSMUSG00000024304","CDH2"
"ENSMUSG00000037885","STK35"
"ENSMUSG00000027446","CST9L"
"ENSMUSG00000039086","SS18L1"
"ENSMUSG00000021102","GLRX5"
"ENSMUSG00000026767","MINDY3"
"ENSMUSG00000031355","ARHGAP6"
"ENSMUSG00000020453","PATZ1"
"ENSMUSG00000040785","TTC3"
"ENSMUSG00000031297","SLC7A3"
"ENSMUSG00000042632","PLA2G6"
"ENSMUSG00000021000","CTAGE1"
"ENSMUSG00000040105","PLPP6"
"ENSMUSG00000022415","SYNGR1"
"ENSMUSG00000027460","ANGPT4"
"ENSMUSG00000026312","CDH7"
"ENSMUSG00000027566","PSMA7"
"ENSMUSG00000022972","CFAP298"
"ENSMUSG00000022972","CFAP298-TCP10L"
"ENSMUSG00000040164","KCNS1"
"ENSMUSG00000031246","SH3BGRL"
"ENSMUSG00000041079","RWDD2B"
"ENSMUSG00000022762","NCAM2"
"ENSMUSG00000044646","ZBTB7C"
"ENSMUSG00000035148","GPR33"
"ENSMUSG00000031230","FGF16"
"ENSMUSG00000027419","PCSK2"
"ENSMUSG00000034913","CBY2"
"ENSMUSG00000035944","TTC38"
"ENSMUSG00000042459","BPIFA2"
"ENSMUSG00000027454","GINS1"
"ENSMUSG00000025265","FGD1"
"ENSMUSG00000017969","PTGIS"
"ENSMUSG00000038980","RBBP8NL"
"ENSMUSG00000031558","SLIT2"
"ENSMUSG00000046470","SOX18"
"ENSMUSG00000029212","GABRB1"
"ENSMUSG00000041653","PNPLA3"
"ENSMUSG00000026321","TNFRSF11A"
"ENSMUSG00000031429","PSMD10"
"ENSMUSG00000015342","XK"
"ENSMUSG00000041961","ZNRF3"
"ENSMUSG00000025666","TMEM47"
"ENSMUSG00000020419","HORMAD2"
"ENSMUSG00000044863","DEFB123"
"ENSMUSG00000001211","AGPAT3"
"ENSMUSG00000022122","EDNRB"
"ENSMUSG00000027519","RAB22A"
"ENSMUSG00000025423","PIAS2"
"ENSMUSG00000045102","POLN"
"ENSMUSG00000021275","TECPR2"
"ENSMUSG00000034457","EDA2R"
"ENSMUSG00000022433","TPTEP2-CSNK1E"
"ENSMUSG00000022433","CSNK1E"
"ENSMUSG00000015647","LAMA5"
"ENSMUSG00000029090","ADGRA3"
"ENSMUSG00000022002","ERICH6B"
"ENSMUSG00000034028","CD226"
"ENSMUSG00000021835","BMP4"
"ENSMUSG00000034311","KIF4A"
"ENSMUSG00000021264","YY1"
"ENSMUSG00000036225","KCTD1"
"ENSMUSG00000027597","AHCY"
"ENSMUSG00000022021","DIAPH3"
"ENSMUSG00000035472","SLC25A21"
"ENSMUSG00000042514","KLHL14"
"ENSMUSG00000020454","EIF4ENIF1"
"ENSMUSG00000033128","GGA1"
"ENSMUSG00000005107","SLC2A9"
"ENSMUSG00000029192","TBC1D14"
"ENSMUSG00000031481","TPTE"
"ENSMUSG00000024552","SLC14A2"
"ENSMUSG00000024039","CBS"
"ENSMUSG00000027546","ATP9A"
"ENSMUSG00000042473","TBC1D8B"
"ENSMUSG00000027678","NCOA3"
"ENSMUSG00000037902","SIRPG"
"ENSMUSG00000037475","THOC2"
"ENSMUSG00000016496","CD274"
"ENSMUSG00000041700","LHFPL1"
"ENSMUSG00000032977","SLX9"
"ENSMUSG00000024782","AK3"
"ENSMUSG00000027482","BPIFA3"
"ENSMUSG00000031298","ADGRG2"
"ENSMUSG00000024525","IMPA2"
"ENSMUSG00000044408","SPTSSA"
"ENSMUSG00000035765","DYM"
"ENSMUSG00000033540","IDUA"
"ENSMUSG00000024537","PSMG2"
"ENSMUSG00000024583","TXNL1"
"ENSMUSG00000036291","AP5M1"
"ENSMUSG00000027560","DOK5"
"ENSMUSG00000039929","URB1"
"ENSMUSG00000027281","SLX4IP"
"ENSMUSG00000031241","TBX22"
"ENSMUSG00000034614","PIK3IP1"
"ENSMUSG00000042680","GAREM1"
"ENSMUSG00000036106","PRR5"
"ENSMUSG00000029647","PAN3"
"ENSMUSG00000021250","FOS"
"ENSMUSG00000022385","GTSE1"
"ENSMUSG00000040990","SH3KBP1"
"ENSMUSG00000027509","RAE1"
"ENSMUSG00000016150","TENM1"
"ENSMUSG00000035451","FOXA1"
"ENSMUSG00000032834","PWP2"
"ENSMUSG00000027641","RBL1"
"ENSMUSG00000024539","PTPN2"
"ENSMUSG00000025597","KLHL4"
"ENSMUSG00000021133","SUSD6"
"ENSMUSG00000029649","POMP"
"ENSMUSG00000021990","SPATA13"
"ENSMUSG00000046782","TTC6"
"ENSMUSG00000027485","BPIFB1"
"ENSMUSG00000024785","RCL1"
"ENSMUSG00000020265","SUMO3"
"ENSMUSG00000029263","PIGG"
"ENSMUSG00000024037","WDR4"
"ENSMUSG00000028484","PSIP1"
"ENSMUSG00000021096","PPM1A"
"ENSMUSG00000042628","ZFYVE1"
"ENSMUSG00000031197","VBP1"
"ENSMUSG00000046873","MBTPS2"
"ENSMUSG00000022064","PIBF1"
"ENSMUSG00000037346","HRH4"
"ENSMUSG00000039178","TBC1D19"
"ENSMUSG00000022382","WNT7B"
"ENSMUSG00000034883","LRR1"
"ENSMUSG00000029121","CRMP1"
"ENSMUSG00000024647","CBLN2"
"ENSMUSG00000037379","SPON2"
"ENSMUSG00000022956","ATP5PO"
"ENSMUSG00000022898","VPS26C"
"ENSMUSG00000041607","MBP"
"ENSMUSG00000038369","NCOA6"
"ENSMUSG00000021047","NOVA1"
"ENSMUSG00000001786","FBXO7"
"ENSMUSG00000023882","ZNF519"
"ENSMUSG00000023206","IL15RA"
"ENSMUSG00000024511","RAB27B"
"ENSMUSG00000031131","VGLL1"
"ENSMUSG00000043241","UPF2"
"ENSMUSG00000031130","BRS3"
"ENSMUSG00000034391","FBXO15"
"ENSMUSG00000036087","SLAIN2"
"ENSMUSG00000027524","EDN3"
"ENSMUSG00000045083","LINGO2"
"ENSMUSG00000027517","ANKRD60"
"ENSMUSG00000021832","PSMC6"
"ENSMUSG00000018326","YWHAB"
"ENSMUSG00000037759","PTGER2"
"ENSMUSG00000027333","SMOX"
"ENSMUSG00000025531","CHM"
"ENSMUSG00000039108","LSM14B"
"ENSMUSG00000034435","TMEM30B"
"ENSMUSG00000045569","MC2R"
"ENSMUSG00000029123","STK32B"
"ENSMUSG00000034570","INPP5J"
"ENSMUSG00000026664","PHYH"
"ENSMUSG00000031357","SYAP1"
"ENSMUSG00000027589","PCMTD2"
"ENSMUSG00000038537","MC3R"
"ENSMUSG00000022961","SON"
"ENSMUSG00000017720","TP53TG5"
"ENSMUSG00000027420","BFSP1"
"ENSMUSG00000046432","BEX3"
"ENSMUSG00000022960","DONSON"
"ENSMUSG00000041238","RBBP8"
"ENSMUSG00000027634","NDRG3"
"ENSMUSG00000021993","MIPEP"
"ENSMUSG00000021094","DHRS7"
"ENSMUSG00000015665","AWAT1"
"ENSMUSG00000016503","GTF3A"
"ENSMUSG00000021057","AKAP5"
"ENSMUSG00000042622","MAFF"
"ENSMUSG00000015627","GATA5"
"ENSMUSG00000020956","DTD2"
"ENSMUSG00000029185","FAM114A1"
"ENSMUSG00000039616","MOCOS"
"ENSMUSG00000034723","TMX4"
"ENSMUSG00000034501","PCNX4"
"ENSMUSG00000025612","BACH1"
"ENSMUSG00000031221","IGBP1"
"ENSMUSG00000039263","NPEPL1"
"ENSMUSG00000039001","RPS21"
"ENSMUSG00000031220","AWAT2"
"ENSMUSG00000038070","CNTLN"
"ENSMUSG00000001436","SLC19A1"
"ENSMUSG00000017929","B4GALT5"
"ENSMUSG00000021981","CAB39L"
"ENSMUSG00000027605","ACSS2"
"ENSMUSG00000024404","RIOK3"
"ENSMUSG00000022864","C21orf91"
"ENSMUSG00000022892","APP"
"ENSMUSG00000003279","DLGAP1"
"ENSMUSG00000027346","GPCPD1"
"ENSMUSG00000033088","TRIOBP"
"ENSMUSG00000034647","ANKRD12"
"ENSMUSG00000021179","NRDE2"
"ENSMUSG00000026650","MEIG1"
"ENSMUSG00000035597","PRPF39"
"ENSMUSG00000005220","CORIN"
"ENSMUSG00000046593","TMEM215"
"ENSMUSG00000038172","TTC39B"
"ENSMUSG00000011034","SLC5A1"
"ENSMUSG00000021086","CCDC175"
"ENSMUSG00000031133","ARHGEF6"
"ENSMUSG00000024277","MAPRE2"
"ENSMUSG00000025544","TM9SF2"
"ENSMUSG00000031202","RAB39B"
"ENSMUSG00000027650","TTI1"
"ENSMUSG00000037636","SLC25A43"
"ENSMUSG00000024042","SIK1B"
"ENSMUSG00000024042","SIK1"
"ENSMUSG00000027651","RPRD1B"
"ENSMUSG00000025817","NUDT5"
"ENSMUSG00000031189","AFF2"
"ENSMUSG00000029657","HSPH1"
"ENSMUSG00000018589","GLRA2"
"ENSMUSG00000000881","DLG3"
"ENSMUSG00000021241","ISCA2"
"ENSMUSG00000024935","SLC1A1"
"ENSMUSG00000024614","TMX3"
"ENSMUSG00000022895","ETS2"
"ENSMUSG00000029217","TEC"
"ENSMUSG00000020284","CFAP410"
"ENSMUSG00000027602","MAP1LC3A"
"ENSMUSG00000036561","PPP6R2"
"ENSMUSG00000027434","NKX2-2"
"ENSMUSG00000022431","RIBC2"
"ENSMUSG00000000134","TFE3"
"ENSMUSG00000042386","TEX13B"
"ENSMUSG00000044988","UCN3"
"ENSMUSG00000029198","GRPEL1"
"ENSMUSG00000027475","KIF3B"
"ENSMUSG00000008999","BMP7"
"ENSMUSG00000034055","PHKA1"
"ENSMUSG00000025421","HDHD2"
"ENSMUSG00000033487","FNDC3A"
"ENSMUSG00000044860","CXADR"
"ENSMUSG00000035387","PPP4R3C"
"ENSMUSG00000040154","WFDC5"
"ENSMUSG00000005251","RIPK4"
"ENSMUSG00000041341","ATG2B"
"ENSMUSG00000031292","CDKL5"
"ENSMUSG00000027488","SNTA1"
"ENSMUSG00000027544","NFATC2"
"ENSMUSG00000024028","TFF2"
"ENSMUSG00000000037","SCML2"
